id,item_group_id,availability,condition,description,image_link,link,title,price,brand,google_product_category
1.7574E+13,1.81137E+12,in stock,new,Sun Fitness Apparel Women's Boy Shorts Push up Bikini Swimsuit Set Green Gray / M https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set 17574022774855,https://kitcrm.imgix.net/https%3A%2F%2Fcdn2.shopify.com%2Fs%2Ffiles%2F1%2F0061%2F8577%2F9271%2Fproducts%2Fproduct-image-877790123.jpg%3Fv%3D1562943841?ixlib=rb-0.3.5&w=600&s=d17a7d844e9b6cc54438b0620f7d0359,https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set,Women's Boy Shorts Push up Bikini Swimsuit Set,25.99 USD,Sun Fitness Apparel,Sporting Goods > Exercise & Fitness
1.7574E+13,1.81137E+12,in stock,new,Sun Fitness Apparel Women's Boy Shorts Push up Bikini Swimsuit Set Green Gray / L https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set 17574022807623,https://kitcrm.imgix.net/https%3A%2F%2Fcdn2.shopify.com%2Fs%2Ffiles%2F1%2F0061%2F8577%2F9271%2Fproducts%2Fproduct-image-877790123.jpg%3Fv%3D1562943841?ixlib=rb-0.3.5&w=600&s=d17a7d844e9b6cc54438b0620f7d0359,https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set,Women's Boy Shorts Push up Bikini Swimsuit Set,25.99 USD,Sun Fitness Apparel,Sporting Goods > Exercise & Fitness
1.7574E+13,1.81137E+12,in stock,new,Sun Fitness Apparel Women's Boy Shorts Push up Bikini Swimsuit Set Green Gray / XL https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set 17574022840391,https://kitcrm.imgix.net/https%3A%2F%2Fcdn2.shopify.com%2Fs%2Ffiles%2F1%2F0061%2F8577%2F9271%2Fproducts%2Fproduct-image-877790123.jpg%3Fv%3D1562943841?ixlib=rb-0.3.5&w=600&s=d17a7d844e9b6cc54438b0620f7d0359,https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set,Women's Boy Shorts Push up Bikini Swimsuit Set,25.99 USD,Sun Fitness Apparel,Sporting Goods > Exercise & Fitness
1.7574E+13,1.81137E+12,in stock,new,Sun Fitness Apparel Women's Boy Shorts Push up Bikini Swimsuit Set Green Gray / XXL https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set 17574022873159,https://kitcrm.imgix.net/https%3A%2F%2Fcdn2.shopify.com%2Fs%2Ffiles%2F1%2F0061%2F8577%2F9271%2Fproducts%2Fproduct-image-877790123.jpg%3Fv%3D1562943841?ixlib=rb-0.3.5&w=600&s=d17a7d844e9b6cc54438b0620f7d0359,https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set,Women's Boy Shorts Push up Bikini Swimsuit Set,25.99 USD,Sun Fitness Apparel,Sporting Goods > Exercise & Fitness
1.7574E+13,1.81137E+12,in stock,new,Sun Fitness Apparel Women's Boy Shorts Push up Bikini Swimsuit Set Red White Stripe / S https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set 17574022905927,https://kitcrm.imgix.net/https%3A%2F%2Fcdn2.shopify.com%2Fs%2Ffiles%2F1%2F0061%2F8577%2F9271%2Fproducts%2Fproduct-image-877790124.jpg%3Fv%3D1562943841?ixlib=rb-0.3.5&w=600&s=d92ca6030645d740fda109ff061b326c,https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set,Women's Boy Shorts Push up Bikini Swimsuit Set,25.99 USD,Sun Fitness Apparel,Sporting Goods > Exercise & Fitness
1.7574E+13,1.81137E+12,in stock,new,Sun Fitness Apparel Women's Boy Shorts Push up Bikini Swimsuit Set Red White Stripe / M https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set 17574022938695,https://kitcrm.imgix.net/https%3A%2F%2Fcdn2.shopify.com%2Fs%2Ffiles%2F1%2F0061%2F8577%2F9271%2Fproducts%2Fproduct-image-877790124.jpg%3Fv%3D1562943841?ixlib=rb-0.3.5&w=600&s=d92ca6030645d740fda109ff061b326c,https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set,Women's Boy Shorts Push up Bikini Swimsuit Set,25.99 USD,Sun Fitness Apparel,Sporting Goods > Exercise & Fitness
1.7574E+13,1.81137E+12,in stock,new,Sun Fitness Apparel Women's Boy Shorts Push up Bikini Swimsuit Set Red White Stripe / L https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set 17574022971463,https://kitcrm.imgix.net/https%3A%2F%2Fcdn2.shopify.com%2Fs%2Ffiles%2F1%2F0061%2F8577%2F9271%2Fproducts%2Fproduct-image-877790124.jpg%3Fv%3D1562943841?ixlib=rb-0.3.5&w=600&s=d92ca6030645d740fda109ff061b326c,https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set,Women's Boy Shorts Push up Bikini Swimsuit Set,25.99 USD,Sun Fitness Apparel,Sporting Goods > Exercise & Fitness
1.7574E+13,1.81137E+12,in stock,new,Sun Fitness Apparel Women's Boy Shorts Push up Bikini Swimsuit Set Red White Stripe / XL https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set 17574023004231,https://kitcrm.imgix.net/https%3A%2F%2Fcdn2.shopify.com%2Fs%2Ffiles%2F1%2F0061%2F8577%2F9271%2Fproducts%2Fproduct-image-877790124.jpg%3Fv%3D1562943841?ixlib=rb-0.3.5&w=600&s=d92ca6030645d740fda109ff061b326c,https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set,Women's Boy Shorts Push up Bikini Swimsuit Set,25.99 USD,Sun Fitness Apparel,Sporting Goods > Exercise & Fitness
1.7574E+13,1.81137E+12,in stock,new,Sun Fitness Apparel Women's Boy Shorts Push up Bikini Swimsuit Set Red White Stripe / XXL https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set 17574023036999,https://kitcrm.imgix.net/https%3A%2F%2Fcdn2.shopify.com%2Fs%2Ffiles%2F1%2F0061%2F8577%2F9271%2Fproducts%2Fproduct-image-877790124.jpg%3Fv%3D1562943841?ixlib=rb-0.3.5&w=600&s=d92ca6030645d740fda109ff061b326c,https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set,Women's Boy Shorts Push up Bikini Swimsuit Set,25.99 USD,Sun Fitness Apparel,Sporting Goods > Exercise & Fitness
1.7574E+13,1.81137E+12,in stock,new,Sun Fitness Apparel Women's Boy Shorts Push up Bikini Swimsuit Set Yellow White Stripe / S https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set 17574023069767,https://kitcrm.imgix.net/https%3A%2F%2Fcdn2.shopify.com%2Fs%2Ffiles%2F1%2F0061%2F8577%2F9271%2Fproducts%2Fproduct-image-877790125.jpg%3Fv%3D1562943841?ixlib=rb-0.3.5&w=600&s=31c8877c44127f92a4c419e8e0365657,https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set,Women's Boy Shorts Push up Bikini Swimsuit Set,25.99 USD,Sun Fitness Apparel,Sporting Goods > Exercise & Fitness
